filter,SurrogateKey,TenantID,pkBookingID,fkUserID,fkLocationID,dateAdded,trackDate,fkHostID,noShow,BookingSource,deleteBooking,RealStartDateTimeUTC,RealEndDateTimeUTC,bookingRealStartTime,bookingRealEndTime,cleanDownPeriod,cleanDownUnit,PipelineExecutionDate
1,8541,condeco777,1,31,3,2023-04-13 10:49:16,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
2,8601,condeco777,2,31,11,2023-04-13 15:19:44.613000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
3,8661,condeco777,3,31,11,2023-04-13 15:19:54.847000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
4,8721,condeco777,4,31,11,2023-04-13 15:20:19,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
5,8781,condeco777,5,31,9,2023-04-13 17:51:23,2023-04-17 12:33:40,None,None,None,0,2023-04-17 04:33:40,None,Apr 17 2023 12:33PM,None,0,0,2024-02-06
6,8841,condeco777,6,32,6,2023-04-12 23:51:52,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
7,8901,condeco777,7,31,9,2023-04-13 17:52:00,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
8,8961,condeco777,8,31,9,2023-04-13 17:52:22.030000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
9,9021,condeco777,9,32,7,2023-04-13 19:52:47,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
10,9081,condeco777,10,31,9,2023-04-13 17:52:52,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
11,9141,condeco777,11,31,9,2023-04-13 17:53:38,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
12,9201,condeco777,12,31,10,2023-04-13 19:54:22,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
13,9261,condeco777,13,31,10,2023-04-13 19:54:30,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
14,9321,condeco777,14,31,10,2023-04-13 19:54:44,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
15,9381,condeco777,15,31,10,2023-04-13 19:54:53,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
16,9441,condeco777,16,31,10,2023-04-13 19:55:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
17,9501,condeco777,17,31,10,2023-04-13 19:55:17,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
18,9561,condeco777,18,31,10,2023-04-13 19:55:24,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
19,9621,condeco777,19,31,10,2023-04-13 19:55:33,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
20,9681,condeco777,20,31,10,2023-04-13 19:55:42,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
21,9741,condeco777,21,31,10,2023-04-13 19:55:49,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
22,9801,condeco777,22,31,10,2023-04-13 19:55:57,2023-04-13 19:56:02,None,None,None,0,None,None,None,None,0,0,2024-02-06
23,9861,condeco777,23,31,10,2023-04-13 19:56:16,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
24,9921,condeco777,24,31,10,2023-04-13 19:56:24,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
25,9981,condeco777,25,31,10,2023-04-13 19:56:30,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
26,10041,condeco777,26,31,10,2023-04-13 19:56:37,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
27,10101,condeco777,27,31,3,2023-04-13 10:56:58,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
28,10161,condeco777,28,31,5,2023-04-13 02:57:28,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
29,10221,condeco777,29,31,5,2023-04-13 02:57:38,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
30,10281,condeco777,30,31,5,2023-04-13 02:57:45,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
31,10341,condeco777,31,31,11,2023-04-13 15:28:03.983000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
32,10401,condeco777,32,31,8,2023-04-13 17:58:33.377000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
33,10461,condeco777,33,31,8,2023-04-13 17:59:49.180000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
34,10521,condeco777,34,31,8,2023-04-13 18:00:45.507000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
35,10581,condeco777,35,31,11,2023-04-13 15:31:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
36,10641,condeco777,36,31,11,2023-04-13 15:31:18,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
37,10701,condeco777,37,31,11,2023-04-13 15:31:28,2023-04-13 15:31:36.183000,None,None,None,0,None,None,None,None,0,0,2024-02-06
38,10761,condeco777,38,31,11,2023-04-13 15:31:50,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
39,10821,condeco777,39,31,11,2023-04-13 15:31:57,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
40,10881,condeco777,40,31,11,2023-04-13 15:33:30,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
41,10941,condeco777,41,31,11,2023-04-13 15:33:39,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
42,11001,condeco777,42,31,11,2023-04-13 15:33:43,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
43,11061,condeco777,43,31,11,2023-04-13 15:34:01.673000,2023-04-13 15:34:36.273000,None,None,9,0,None,None,None,None,0,0,2024-02-06
44,11121,condeco777,44,31,11,2023-04-13 15:34:44,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
45,11181,condeco777,45,31,11,2023-04-13 15:35:25,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
46,11241,condeco777,46,31,11,2023-04-13 15:35:36,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
47,11301,condeco777,47,31,11,2023-04-13 15:35:42,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
48,11361,condeco777,48,31,9,2023-04-13 18:06:32,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
49,11421,condeco777,49,31,9,2023-04-13 18:06:41,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
50,11481,condeco777,50,31,9,2023-04-13 18:06:50,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
51,11541,condeco777,51,31,9,2023-04-13 18:06:56,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
52,11601,condeco777,52,31,10,2023-04-13 20:07:44,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
53,11661,condeco777,53,31,10,2023-04-13 20:07:52,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
54,11721,condeco777,54,31,10,2023-04-13 20:07:58,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
55,11781,condeco777,55,31,10,2023-04-13 20:08:05,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
56,11841,condeco777,56,31,10,2023-04-13 20:08:17,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
57,11901,condeco777,57,31,10,2023-04-13 20:08:27,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
58,11961,condeco777,58,31,10,2023-04-13 20:08:35,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
59,12021,condeco777,59,31,10,2023-04-13 20:08:42,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
60,12081,condeco777,60,31,3,2023-04-13 11:09:23.987000,2023-04-13 11:09:37.233000,None,None,9,0,None,None,None,None,0,0,2024-02-06
61,12141,condeco777,61,31,3,2023-04-13 11:09:44,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
62,12201,condeco777,62,31,3,2023-04-13 11:09:59,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
63,12261,condeco777,63,31,3,2023-04-13 11:10:06,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
64,12321,condeco777,64,31,3,2023-04-13 11:10:17,2023-04-13 11:10:31,None,None,None,0,None,None,None,None,0,0,2024-02-06
65,12381,condeco777,65,31,5,2023-04-13 03:10:44.333000,2023-04-13 03:10:50.900000,None,None,9,0,None,None,None,None,0,0,2024-02-06
66,12441,condeco777,66,31,5,2023-04-13 03:10:59,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
67,12501,condeco777,67,31,5,2023-04-13 03:11:12,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
68,12561,condeco777,68,31,5,2023-04-13 03:11:39,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
69,12621,condeco777,69,31,5,2023-04-13 03:11:45,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
70,12681,condeco777,70,31,5,2023-04-13 03:11:52,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
71,12741,condeco777,71,32,12,2023-04-13 19:11:52.660000,None,None,None,9,0,None,None,None,None,0,0,2024-02-06
72,12801,condeco777,72,31,5,2023-04-13 03:12:07,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
73,12861,condeco777,73,31,5,2023-04-13 03:12:15,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
74,12921,condeco777,74,31,5,2023-04-13 03:12:21,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
75,12981,condeco777,75,31,5,2023-04-13 03:12:28,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
