filter,cleanDownPeriod,bookingRealEndTime,fkHostID,dateAdded,noShow,fkLocationID,pkBookingID,cleanDownUnit,trackDate,bookingRealStartTime,fkUserID,BookingSource,RealStartDateTimeUTC,RealEndDateTimeUTC,deleteBooking
1,0.0,,,2023-04-13 10:49:16,,3,1,0.0,,,31,,,,0
2,0.0,,,2023-04-13 15:19:44.613000,,11,2,0.0,,,31,9.0,,,0
3,0.0,,,2023-04-13 15:19:54.847000,,11,3,0.0,,,31,9.0,,,0
4,0.0,,,2023-04-13 15:20:19,,11,4,0.0,,,31,,,,0
5,0.0,,,2023-04-13 17:51:23,,9,5,0.0,2023-04-17 12:33:40,Apr 17 2023 12:33PM,31,,2023-04-17 04:33:40,,0
6,0.0,,,2023-04-12 23:51:52,,6,6,0.0,,,32,,,,0
7,0.0,,,2023-04-13 17:52:00,,9,7,0.0,,,31,,,,0
8,0.0,,,2023-04-13 17:52:22.030000,,9,8,0.0,,,31,9.0,,,0
9,0.0,,,2023-04-13 19:52:47,,7,9,0.0,,,32,,,,0
10,0.0,,,2023-04-13 17:52:52,,9,10,0.0,,,31,,,,0
11,0.0,,,2023-04-13 17:53:38,,9,11,0.0,,,31,,,,0
12,0.0,,,2023-04-13 19:54:22,,10,12,0.0,,,31,,,,0
13,0.0,,,2023-04-13 19:54:30,,10,13,0.0,,,31,,,,0
14,0.0,,,2023-04-13 19:54:44,,10,14,0.0,,,31,,,,0
15,0.0,,,2023-04-13 19:54:53,,10,15,0.0,,,31,,,,0
16,0.0,,,2023-04-13 19:55:07,,10,16,0.0,,,31,,,,0
17,0.0,,,2023-04-13 19:55:17,,10,17,0.0,,,31,,,,0
18,0.0,,,2023-04-13 19:55:24,,10,18,0.0,,,31,,,,0
19,0.0,,,2023-04-13 19:55:33,,10,19,0.0,,,31,,,,0
20,0.0,,,2023-04-13 19:55:42,,10,20,0.0,,,31,,,,0
21,0.0,,,2023-04-13 19:55:49,,10,21,0.0,,,31,,,,0
22,0.0,,,2023-04-13 19:55:57,,10,22,0.0,2023-04-13 19:56:02,,31,,,,0
23,0.0,,,2023-04-13 19:56:16,,10,23,0.0,,,31,,,,0
24,0.0,,,2023-04-13 19:56:24,,10,24,0.0,,,31,,,,0
25,0.0,,,2023-04-13 19:56:30,,10,25,0.0,,,31,,,,0
26,0.0,,,2023-04-13 19:56:37,,10,26,0.0,,,31,,,,0
27,0.0,,,2023-04-13 10:56:58,,3,27,0.0,,,31,,,,0
28,0.0,,,2023-04-13 02:57:28,,5,28,0.0,,,31,,,,0
29,0.0,,,2023-04-13 02:57:38,,5,29,0.0,,,31,,,,0
30,0.0,,,2023-04-13 02:57:45,,5,30,0.0,,,31,,,,0
31,0.0,,,2023-04-13 15:28:03.983000,,11,31,0.0,,,31,9.0,,,0
32,0.0,,,2023-04-13 17:58:33.377000,,8,32,0.0,,,31,9.0,,,0
33,0.0,,,2023-04-13 17:59:49.180000,,8,33,0.0,,,31,9.0,,,0
