filter,pkBookingID,fkUserID,fkLocationID,fkColourCodeID,Approved,fkApprovedByID,dateAdded,dateBookingApproved,deleteBooking,prepUnit,prepPeriod,cleanDownUnit,cleanDownPeriod,bookingRealStartTime,bookingRealEndTime,bookingPending,pendingOnGrid,fkSeatingOptionID,bookingRejected,trackUserID,trackDate,emailBookingLink,fkVCID,vcEnd,prBookingID,waitList,requestedAttributes,priority,selectedRoomOnly,fkHostID,fkRequestorID,noShow,parkingFreeSpaceBooking,vcConferenceID,roomClear,InstantMeeting,BookingSource,IsOutlookBooking,IsRecurringBooking,resID,resSourceName,resIDBackup,BlockKey,importData,Status,dontMove,StagingBookingID,TransactionGUID,RealStartDateTimeUTC,RealEndDateTimeUTC,DeskGroupRestrictionType,fkRequestId,IsLinkedRoomBooking,fkTeamDayID,LastModifytime
1,1,31,3,37,True,31,2023-04-13 10:49:16,2023-04-13 10:49:16,0,0,0,0,0,None,None,False,False,4,False,None,None,D00F5BC2-067E-46F0-88B3-2FCE70874A44,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,2,33E4EAED-5EF2-4733-A4C7-102D64AC0765,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00J\xa5'
2,2,31,11,63,True,31,2023-04-13 15:19:44.613000,2023-04-13 15:19:44.613000,0,0,0,0,0,None,None,False,False,3,False,None,None,28B53C39-9222-4422-9FB6-ED8042DEAF4F,None,None,None,0,,0,0,None,None,None,False,None,None,None,9,False,False,None,None,None,None,None,0,None,3,B93CCB78-1B66-4E88-A473-CA96AB1ED900,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00LU'
3,3,31,11,63,True,31,2023-04-13 15:19:54.847000,2023-04-13 15:19:54.847000,0,0,0,0,0,None,None,False,False,3,False,None,None,B46697D6-D410-402E-9E5B-2F8BA5173D54,None,None,None,0,,0,0,None,None,None,False,None,None,None,9,False,False,None,None,None,None,None,0,None,4,DD57BD54-9120-4F16-86C2-5A8943B4E0D8,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00L|'
4,4,31,11,63,True,31,2023-04-13 15:20:19,2023-04-13 15:20:19,0,0,0,0,0,None,None,False,False,3,False,None,None,56C47535-0AF8-40B9-8460-181A7FDFB33B,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,5,24025C9B-348A-425B-94D2-4F6F4111C06E,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00L\x8d'
5,5,31,9,59,True,31,2023-04-13 17:51:23,2023-04-13 17:51:23,0,0,0,0,0,Apr 17 2023 12:33PM,None,False,False,3,False,31,2023-04-17 12:33:40,2480FAEB-53C1-43E8-83D4-2D54DCDDA784,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,6,2DD8433A-4778-4275-9E57-27CBC3605562,2023-04-17 04:33:40,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00Xx'
6,6,32,6,53,True,32,2023-04-12 23:51:52,2023-04-12 23:51:52,0,0,0,0,0,None,None,False,False,2,False,None,None,20F40C78-E9BB-4043-949B-D2A6C622E4FB,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,7,932C0508-E2FD-44CD-BC5E-05528F61DBAB,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00L\xa2'
7,7,31,9,59,True,31,2023-04-13 17:52:00,2023-04-13 17:52:00,0,0,0,0,0,None,None,False,False,5,False,None,None,32154B37-677F-4058-A097-48AC6E6DE6D2,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,8,EA9EA6D7-5A5D-4705-B4C1-E4781190E40F,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00L\xa8'
8,8,31,9,59,True,31,2023-04-13 17:52:22.030000,2023-04-13 17:52:22.030000,0,0,0,0,0,None,None,False,False,6,False,None,None,6F825A84-65AD-4753-BC6B-98E2A3EBF5EF,None,None,None,0,,0,0,None,None,None,False,None,None,None,9,False,False,None,None,None,None,None,0,None,9,E5A57CAC-D729-4C9F-B8BE-53079EFF08F7,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00L\xb3'
9,9,32,7,53,True,32,2023-04-13 19:52:47,2023-04-13 19:52:47,0,0,0,0,0,None,None,False,False,3,False,None,None,AC338F01-07B4-4B54-974D-1665E35D7495,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,10,C860A263-F612-44D0-828C-B1AE7CB3275C,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00L\xb9'
10,10,31,9,59,True,31,2023-04-13 17:52:52,2023-04-13 17:52:52,0,0,0,0,0,None,None,False,False,6,False,None,None,F48D5A2C-2092-4E7B-B409-EC85368876C6,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,11,E52CF374-167C-4768-9469-94B918D1277D,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00L\xbf'
11,11,31,9,59,True,31,2023-04-13 17:53:38,2023-04-13 17:53:38,0,0,0,0,0,None,None,False,False,7,False,None,None,C6B7693D-8111-418E-BA39-48A039EDC2FF,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,12,99052C12-F68E-4D8B-9584-E06D4E7DDBF6,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00L\xc8'
12,12,31,10,61,True,31,2023-04-13 19:54:22,2023-04-13 19:54:22,0,0,0,0,0,None,None,False,False,2,False,None,None,7D732D92-3300-412F-969C-83CA79B09F8E,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,13,521F6B81-3603-4C13-85CE-3006E8A99D8E,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00M\x16'
13,13,31,10,61,True,31,2023-04-13 19:54:30,2023-04-13 19:54:30,0,0,0,0,0,None,None,False,False,6,False,None,None,FDA9F19D-E7DD-44CB-8226-77FAA95F4E7D,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,14,DBB44882-AA99-45A4-91FA-3E7773C876DB,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00Ml'
14,14,31,10,61,True,31,2023-04-13 19:54:44,2023-04-13 19:54:44,0,0,0,0,0,None,None,False,False,4,False,None,None,AE468915-4618-455B-9933-5188303A48EA,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,15,54BBFFA2-25E5-49FA-87AF-E9FB266DC0E1,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00M\x8c'
15,15,31,10,61,True,31,2023-04-13 19:54:53,2023-04-13 19:54:53,0,0,0,0,0,None,None,False,False,7,False,None,None,0388F835-D1CD-47BE-B8F2-C9CE03C491CF,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,16,429470E7-B971-4948-B6FD-3DEA7F4A7194,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00M\x9b'
16,16,31,10,61,True,31,2023-04-13 19:55:07,2023-04-13 19:55:07,0,0,0,0,0,None,None,False,False,4,False,None,None,490ED0AE-7627-4407-95DC-B48C80274EEE,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,17,9BC3999C-0927-4F1F-A7F2-2391039877C9,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00M\xa3'
17,17,31,10,61,True,31,2023-04-13 19:55:17,2023-04-13 19:55:17,0,0,0,0,0,None,None,False,False,2,False,None,None,7D1E35BB-633B-4FA3-BC23-40606F893377,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,18,9A64129B-824E-4445-847E-5F5979BC084A,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00M\xab'
18,18,31,10,61,True,31,2023-04-13 19:55:24,2023-04-13 19:55:24,0,0,0,0,0,None,None,False,False,2,False,None,None,460EF91A-B72E-4EB8-8000-18E1B5433120,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,19,25F9A23A-B3C8-44CA-8670-8F8A0B8B43EE,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00M\xb3'
19,19,31,10,61,True,31,2023-04-13 19:55:33,2023-04-13 19:55:33,0,0,0,0,0,None,None,False,False,6,False,None,None,42948851-1724-4E02-948E-7DEAD66B302D,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,20,62EEA110-6FB5-42DA-AF2F-01EC124620CF,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00M\xbb'
20,20,31,10,61,True,31,2023-04-13 19:55:42,2023-04-13 19:55:42,0,0,0,0,0,None,None,False,False,4,False,None,None,1074A7ED-043A-48A1-A66D-074BF464EC3B,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,21,325B661E-35AE-44DB-9C91-9702F454F998,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00M\xca'
21,21,31,10,61,True,31,2023-04-13 19:55:49,2023-04-13 19:55:49,0,0,0,0,0,None,None,False,False,7,False,None,None,0537FA95-D93C-42AE-B407-B2256D550A93,None,None,None,0,,0,0,None,None,None,False,None,None,None,None,False,False,None,None,None,None,None,0,None,22,8D60DB3D-1876-4AFD-B079-3ACE1C24F75B,None,None,None,None,None,None,b'\x00\x00\x00\x00\x00\x00M\xd2'
